Domain_Name,Num_Domain_ID,Synonyms,Logical_Type_ID,Num_Logical_Type_ID,T_Size,T_Precision,T_Scale,Native_Type,LT_Name,Usage
DIM_HEIGHT,57,,LOGDT017,691,13,13,2,UNKNOWN,unknown,
DIM_LENGTH,58,,LOGDT017,691,13,13,2,UNKNOWN,unknown,
DIM_VOL,59,,LOGDT017,691,13,13,2,UNKNOWN,unknown,
DIM_WEIGHT,60,,LOGDT017,691,13,13,2,UNKNOWN,unknown,
DIM_WIDTH,61,,LOGDT017,691,13,13,2,UNKNOWN,unknown,
DM_BINARY_4,62,,LOGDT017,691,4,0,0,UNKNOWN,unknown,
DM_CODE_0_DUMMY,63,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_ACCOUNT,64,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_ACCOUNT_1,65,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_ACCOUNT_2,66,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_ACCOUNT_3,67,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_ACCOUNT_4,68,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_ACCOUNT_5,69,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_ATA,70,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_BASE,71,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_CHANNEL,72,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_CHARGE,73,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_COUNTRY_ISO3166,74,,LOGDT024,752,2,,,VARCHAR,VARCHAR,
DM_CODE_COUNTRY_ISO3166_A3,75,,LOGDT024,752,3,,,VARCHAR,VARCHAR,
DM_CODE_COUNTRY_ISO3166_ID,76,,LOGDT019,724,5,,,NUMERIC,NUMERIC,
DM_CODE_COUNTRY_UNDP,77,,LOGDT024,752,50,,,VARCHAR,VARCHAR,
DM_CODE_CREDIT_SCORE,78,,LOGDT017,691,5,,,UNKNOWN,unknown,
DM_CODE_CURRENCY_ISO4217,79,Currency Code ISO 4217,LOGDT024,752,10,,,VARCHAR,VARCHAR,
DM_CODE_CURRENCY_ISO4217_ID,80,,LOGDT019,724,10,,,NUMERIC,NUMERIC,
DM_CODE_CURRENCY_ISO4217_NAME,81,,LOGDT024,752,40,,,VARCHAR,VARCHAR,
DM_CODE_DEPOT,82,,LOGDT017,691,10,,,UNKNOWN,unknown,
DM_CODE_FEEDER,83,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_GROUP_BILL,84,,LOGDT017,691,1,,,UNKNOWN,unknown,
DM_CODE_HON,85,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_INSPECTION,86,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_INTERVALL,87,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_ITEM,88,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_MANUFACURER,89,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_MARKET,90,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_NEXT_ASSEMBLY,91,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_PAYMENT_METHOD,92,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_PAYMENT_TERMS,93,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_PRIORITY,94,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_ROUTE,95,,LOGDT017,691,10,,,UNKNOWN,unknown,
DM_CODE_SALUTATION,96,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_SERVICE,97,,LOGDT017,691,2,,,UNKNOWN,unknown,
DM_CODE_SHIPMENT,98,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_SIC,99,NAV code,LOGDT017,691,10,,,UNKNOWN,unknown,
DM_CODE_STATE,100,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
DM_CODE_STATE_RECOMMENDED,101,,LOGDT019,724,1,,,NUMERIC,NUMERIC,
DM_CODE_STATE_SUBDIVISION_CAT,102,,LOGDT024,752,40,,,VARCHAR,VARCHAR,
DM_CODE_TAX,103,EU Tax Code,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CODE_TENANT,104,,LOGDT017,691,10,,,UNKNOWN,unknown,
DM_CODE_UOM,105,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_CREATED_BY,106,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_ENTITY_TYPE,107,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_GEO_AP_LAT_MIN,108,,LOGDT017,691,,7,4,UNKNOWN,unknown,
DM_GEO_AP_LONG_DEG,109,,LOGDT017,691,,7,4,UNKNOWN,unknown,
DM_GEO_AP_LONG_LOC,110,,LOGDT017,691,1,,,UNKNOWN,unknown,
DM_GEO_AP_LONG_MIN,111,,LOGDT017,691,,7,4,UNKNOWN,unknown,
DM_GEO_AP_LONG_SEC,112,,LOGDT017,691,,9,6,UNKNOWN,unknown,
DM_NO_ACCOUNT,113,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_AIRCRAFT,114,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_AIRCRAFT_MODEL,115,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_AIRCRAFT_PATTERN,116,,LOGDT017,691,10,,,UNKNOWN,unknown,
DM_NO_AIRCRAFT_PREFIX,117,,LOGDT017,691,10,,,UNKNOWN,unknown,
DM_NO_AIRCRAFT_TYPE,118,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_BILL,119,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_CHAR30,120,,LOGDT024,752,30,,,VARCHAR,VARCHAR,
DM_NO_CHAR50,121,,LOGDT024,752,50,,,VARCHAR,VARCHAR,
DM_NO_CHAR80,122,,LOGDT024,752,80,,,VARCHAR,VARCHAR,
DM_NO_COMPETITOR,123,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_CONTRACT,124,,LOGDT017,691,30,,,UNKNOWN,unknown,
DM_NO_CREW,125,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_CUSTOMER,126,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_ENTITY,127,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_FLIGHT,128,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_ITEM,129,,LOGDT017,691,30,,,UNKNOWN,unknown,
DM_NO_LINE,130,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_LOG,131,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_ORDER,132,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_PART,133,,LOGDT017,691,30,,,UNKNOWN,unknown,
DM_NO_PKI,134,,LOGDT017,691,10,,,UNKNOWN,unknown,
DM_NO_PMO_ACTIVITY,135,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_PMO_BUDGET,136,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_PMO_INCIDENT,137,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_PMO_PROGRAM,138,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_PMO_PROJECT,139,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_PMO_REQUEST,140,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_PMO_TASK,141,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_PMO_TEAM,142,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_PO,143,Purchase Order,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_PO_PRODUCT,144,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_PREMISE,145,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_PRICELIST,146,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_PRODUCT,147,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_PROJECT,148,,LOGDT017,691,30,,,UNKNOWN,unknown,
DM_NO_PROSPECT,149,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_QUESTION,150,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_QUOTE,151,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_QUOTE_REV,152,,LOGDT017,691,5,5,0,UNKNOWN,unknown,
DM_NO_RESPONDENT,153,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_SALESREP,154,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_SEQ,155,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_SLA,156,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_STATION_FAA,157,,LOGDT017,691,4,,,UNKNOWN,unknown,
DM_NO_STATION_IATA,158,,LOGDT017,691,3,,,UNKNOWN,unknown,
DM_NO_STATION_ICAO,159,,LOGDT017,691,4,,,UNKNOWN,unknown,
DM_NO_SURVEY,160,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_TASK,161,,LOGDT017,691,30,,,UNKNOWN,unknown,
DM_NO_TIMECARD,162,,LOGDT017,691,30,,,UNKNOWN,unknown,
DM_NO_VENDOR,163,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_NO_WORKORDER,164,,LOGDT017,691,30,,,UNKNOWN,unknown,
DM_RATE_0_1,165,,LOGDT017,691,19,11,7,UNKNOWN,unknown,
DM_REFCODE_ACTIVITY,166,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_REFCODE_CODES,167,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_REFCODE_ORDERS,168,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_REFCODE_PROJECTS,169,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_REFCODE_REVENUE,170,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_SALES_CYCLE,171,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_SALES_PROBABILITY,172,,LOGDT017,691,3,,,UNKNOWN,unknown,
DM_STATUS_ACCOUNT,173,,LOGDT017,691,2,,,UNKNOWN,unknown,
DM_STATUS_ORDER,174,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_STATUS_ORDER_LINE,175,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_STATUS_PO,176,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_STATUS_PREMISE,177,,LOGDT017,691,10,,,UNKNOWN,unknown,
DM_STATUS_PROJECT,178,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_STATUS_QUOTE,179,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_STATUS_REQUEST,180,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_STATUS_TASK,181,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_STATUS_VENDOR,182,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_TYPE_ACCOUNT,183,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_TYPE_CONTACT,184,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_TYPE_CONTRACT,185,,LOGDT017,691,5,5,0,UNKNOWN,unknown,
DM_TYPE_CONTRACT_LINE,186,Art,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_TYPE_DOCUMENT,187,procurement document header,LOGDT017,691,5,5,0,UNKNOWN,unknown,
DM_TYPE_EMPLOYEE,188,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_TYPE_FILE,189,,LOGDT017,691,4,,,UNKNOWN,unknown,
DM_TYPE_FLIGHT,190,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_TYPE_FLIGHT_OPS,191,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_TYPE_ITEM,192,Belegart,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_TYPE_KPI,193,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_TYPE_LOG,194,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_TYPE_ORDER,195,Belegart,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_TYPE_ORDER_LINE,196,Belegart,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_TYPE_PO,197,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_TYPE_PRICE_TYPE,198,Typenmietpreis,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_TYPE_PRICE_UOM,199,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_TYPE_PROJECT,200,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_TYPE_QUESTION,201,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_TYPE_QUOTE,202,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_TYPE_SCRIPT,203,,LOGDT017,691,120,,,UNKNOWN,unknown,
DM_TYPE_SERVICE_ORDER,204,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_TYPE_SOURCE,205,,LOGDT017,691,10,,,UNKNOWN,unknown,
DM_TYPE_STATION,206,,LOGDT017,691,10,,,UNKNOWN,unknown,
DM_TYPE_USAGE_REFERENCE,207,,LOGDT017,691,20,,,UNKNOWN,unknown,
DM_TYPE_WORKORDER,208,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_ACQUISITION_CODE,209,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_ACQUISITION_FLAG,210,,LOGDT017,691,5,,,UNKNOWN,unknown,
DWH_ACTIVE,211,,LOGDT017,691,10,,,UNKNOWN,unknown,
DWH_CLASS_CUST,212,,LOGDT017,691,10,,,UNKNOWN,unknown,
DWH_CLASS_CUST_ACT,213,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_CODE_LOST,214,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_CODE_NEWUSED,215,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_CODE_OTD,216,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_CODE_SIC,217,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_COST_CENTER,218,,LOGDT017,691,50,,,UNKNOWN,unknown,
DWH_CREDIT_MESSAGE,219,,LOGDT017,691,50,,,UNKNOWN,unknown,
DWH_CYCLE_LEAD,220,,LOGDT017,691,10,,,UNKNOWN,unknown,
DWH_LQ_PROBABILITY,221,,LOGDT017,691,3,,,UNKNOWN,unknown,
DWH_ORDER_LINE_TYPE,222,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_PAYMENT_TERMS,223,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_PRODUCT_GROUP_AS,224,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_PRODUCT_MODEL_CODE,225,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_PRODUCT_MODEL_LINE_CODE,226,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_PRODUCT_MODEL_TYPE_CODE,227,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_RESPONSIBLE_PARTY,228,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_SALES_REP_FLAG,229,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_STATUS_EMP,230,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_STATUS_QUOTE,231,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_STATUS_SOM,232,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_STATUS_VENDOR,233,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_TYPE_CONTRACT,234,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_TYPE_CUST,235,,LOGDT017,691,,,,UNKNOWN,unknown,
DWH_TYPE_DOCUMENT,236,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_TYPE_FLEET,237,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_TYPE_ORDER,238,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_TYPE_QUOTE,239,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_TYPE_SUPPLIER,240,,LOGDT017,691,20,,,UNKNOWN,unknown,
DWH_USAGE_CODE,241,,LOGDT017,691,20,,,UNKNOWN,unknown,
DYN_CODE_SIC,242,other NAV / NACE implementations,LOGDT017,691,10,,,UNKNOWN,unknown,
EVENT_ID,243,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
EVENT_REASON_DESC,244,,LOGDT024,752,120,,,VARCHAR,VARCHAR,
EVENT_REASON_ID,245,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
EVENT_REASON_STATUS,246,,LOGDT024,752,1,,,VARCHAR,VARCHAR,
FCST_CATEGORY,247,,LOGDT024,752,10,,,VARCHAR,VARCHAR,
FCST_CATEGORY_CUSTOM,248,,LOGDT024,752,10,,,VARCHAR,VARCHAR,
FCST_CATEGORY_CUSTOMv1,249,,LOGDT024,752,10,,,VARCHAR,VARCHAR,
FCST_CATEGORYNAME,250,,LOGDT024,752,10,,,VARCHAR,VARCHAR,
FCST_CATEGORYv1,251,,LOGDT024,752,10,,,VARCHAR,VARCHAR,
FCST_EXCLUDE_FROM_PS_FCST,252,,LOGDT024,752,3,,,VARCHAR,VARCHAR,
FCST_FROM_OPP,253,,LOGDT024,752,3,,,VARCHAR,VARCHAR,
FCST_ID,254,,LOGDT024,752,18,,,VARCHAR,VARCHAR,
GEO_AP_LAT,255,,LOGDT026,708,,11,7,DECIMAL,DECIMAL,
GEO_AP_LAT_DEG,256,,LOGDT017,691,,7,4,UNKNOWN,unknown,
GEO_AP_LAT_LOC,257,,LOGDT017,691,1,,,UNKNOWN,unknown,
GEO_AP_LAT_SEC,258,,LOGDT017,691,,9,6,UNKNOWN,unknown,
GEO_AP_LONG,259,,LOGDT026,708,,11,7,DECIMAL,DECIMAL,
GEO_REGION,260,,LOGDT024,752,40,,,VARCHAR,VARCHAR,
GEO_TERRITORY,261,,LOGDT024,752,40,,,VARCHAR,VARCHAR,
GEO_ZONE,262,,LOGDT024,752,40,,,VARCHAR,VARCHAR,
HAL_ACL_D1,263,,LOGDT017,691,20,,,UNKNOWN,unknown,
HAL_ACL_F1,264,,LOGDT017,691,20,,,UNKNOWN,unknown,
HAL_ACL_G1,265,,LOGDT017,691,20,,,UNKNOWN,unknown,
HAL_ACL_M1,266,,LOGDT017,691,20,,,UNKNOWN,unknown,
HAL_ACL_NAME,267,,LOGDT017,691,80,,,UNKNOWN,unknown,
ID,268,,LOGDT024,752,40,,,VARCHAR,VARCHAR,
JOB_CODE,269,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
JOB_CODE_TITLE,270,,LOGDT024,752,120,,,VARCHAR,VARCHAR,
JOB_FTE,271,,LOGDT024,752,1,,,VARCHAR,VARCHAR,
JOB_FUNCTION,272,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
JOB_GRADE,273,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
JOB_LEVEL,274,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
JOB_LEVEL_CODE,275,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
JOB_LEVEL_DESC,276,,LOGDT024,752,120,,,VARCHAR,VARCHAR,
JOB_NAME,277,,LOGDT024,752,120,,,VARCHAR,VARCHAR,
JOB_REG_TEMP,278,,LOGDT024,752,1,,,VARCHAR,VARCHAR,
JOB_STARNDARD_HOURS,279,,LOGDT024,752,2,,,VARCHAR,VARCHAR,
JOB_TARGET_FTE,280,,LOGDT024,752,1,,,VARCHAR,VARCHAR,
JOB_VACANT,281,,LOGDT024,752,1,,,VARCHAR,VARCHAR,
KEY_ACTIVE,282,,LOGDT024,752,1,,,VARCHAR,VARCHAR,
KEY_APP,283,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
KEY_CREATED_BY,284,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
KEY_CREDENTIALS,285,,LOGDT024,752,240,,,VARCHAR,VARCHAR,
KEY_DATE_DAY,286,,LOGDT024,752,2,,,VARCHAR,VARCHAR,
KEY_DATE_DOW,287,,LOGDT011,717,1,,,INTEGER,Integer,
KEY_DATE_HH_MM,288,,LOGDT026,708,9,5,2,DECIMAL,DECIMAL,
KEY_DATE_HH_MM_SSS,289,,LOGDT014,746,9,4,,TIME,Time,
KEY_DATE_MONTH,290,,LOGDT011,717,2,,,INTEGER,Integer,
KEY_DATE_NUM,291,,LOGDT011,717,3,,,INTEGER,Integer,
KEY_DATE_QUARTER,292,,LOGDT024,752,2,,,VARCHAR,VARCHAR,
KEY_DATE_TIMESTAMP,293,,LOGDT047,743,,,,DATETIME,TIMESTAMP WITH LOCAL TIME ZONE,
KEY_DATE_VALID,294,,LOGDT007,704,8,,,DATE,Date,
KEY_DATE_WEEK,295,,LOGDT011,717,2,,,INTEGER,Integer,
KEY_DATE_YYYY,296,,LOGDT011,717,4,,,INTEGER,Integer,
KEY_DATE_YYYYMMDD,297,,LOGDT007,704,8,,,DATE,Date,
KEY_DATE_YYYYMMDDHHMM,298,,LOGDT015,747,18,,,DATETIME,Timestamp,
KEY_DB,299,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
KEY_DBLINK,300,,LOGDT017,691,80,,,UNKNOWN,unknown,
KEY_DOMAIN,301,,LOGDT017,691,20,,,UNKNOWN,unknown,
KEY_ETL_ACTION_FLAG,302,,LOGDT017,691,1,,,UNKNOWN,unknown,
KEY_ETL_CONDITION,303,,LOGDT017,691,20,,,UNKNOWN,unknown,
KEY_ETL_ERROR,304,,LOGDT017,691,5,,,UNKNOWN,unknown,
KEY_ETL_ERROR_CODE,305,,LOGDT017,691,10,,,UNKNOWN,unknown,
KEY_ETL_ERROR_CONTENT,306,,LOGDT017,691,80,,,UNKNOWN,unknown,
KEY_ETL_ERROR_NUMBER,307,,LOGDT017,691,10,,,UNKNOWN,unknown,
KEY_ETL_OPERATOR,308,,LOGDT017,691,480,,,UNKNOWN,unknown,
KEY_ETL_PROCESS,309,,LOGDT017,691,80,,,UNKNOWN,unknown,
KEY_ETL_SOURCE,310,,LOGDT017,691,10,,,UNKNOWN,unknown,
KEY_ETL_STATUS,311,,LOGDT017,691,5,,,UNKNOWN,unknown,
KEY_ETL_TYPE,312,,LOGDT017,691,20,,,UNKNOWN,unknown,
KEY_ETL_VALUE_FORMAT,313,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
KEY_INGESTED_BY,314,,LOGDT024,752,20,,,VARCHAR,VARCHAR,
KEY_LANGUAGE__ISO639_1,315,Language Code ISO 639-1,LOGDT024,752,2,,,VARCHAR,VARCHAR,
